Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
78,0.0,950571.6094770954,76126.82620838525,1132870.9277264324,940193.7859168374,86504.64976864326,24205.774977792633,52460794.712555364,445336989.2180872
79,0.0,946982.8658215203,67543.2,1150260.6872279437,937775.1863843602,76750.87943716021,23876.958782975733,52460794.712555364,445336989.2180872
80,0.0,960812.5160322092,7543.2,1170226.5536317672,891604.836595049,76750.87943716021,38032.59536425207,52460794.712555364,445336989.2180872
81,0.0,951912.0816111882,60000.0,1151299.326709847,935161.202174028,76750.87943716021,49243.774002416234,52460794.712555364,445336989.2180872
82,0.0,954563.2361087938,115086.4,1132345.436648703,992898.7566716336,76750.87943716021,34147.429636143985,52460794.712555364,445336989.2180872
83,0.0,963718.7638111995,93719.27452494887,1186886.9115324644,973669.1444836322,83768.89385251612,25416.644455324098,52460794.712555364,445336989.2180872
84,0.0,952427.500084099,29064.094002415208,1127974.95698052,903012.4880889294,78479.10599758479,38739.721946735626,52460794.712555364,445336989.2180872
85,0.0,957244.6725579728,87543.2,1178650.3764263715,968036.9931208126,76750.87943716021,30936.090996069946,52460794.712555364,445336989.2180872
86,0.0,970336.5293881003,20000.0,1193278.8792287058,913585.64995094,76750.87943716021,39472.25,52460794.712555364,445336989.2180872
87,0.0,959682.8662183294,127543.2,1177839.5104283788,1010475.1867811691,76750.87943716021,29817.52235902356,52460794.712555364,445336989.2180872
88,0.0,947208.3344349709,75086.4,1145712.958299734,945543.8549978107,76750.87943716021,30462.58990885262,52460794.712555364,445336989.2180872
89,0.0,944137.675690142,67543.2,1128292.5885175245,934929.9962529817,76750.87943716021,25682.978500197456,52460794.712555364,445336989.2180872
90,0.0,944781.1679428081,67543.2,1114712.7642509672,935573.4885056479,76750.87943716021,25538.87590244898,52460794.712555364,445336989.2180872
91,0.0,946413.5975270846,0.0,1105991.5531297517,869662.7180899245,76750.87943716023,40580.588100411136,52460794.712555364,445336989.2180872
92,0.0,949646.8576752307,67543.20000000001,1100457.02695044,940439.1782380705,76750.87943716021,56467.584183172556,52460794.712555364,445336989.2180872
93,0.0,936130.2305114046,67543.2,1064784.8492231204,926922.5510742443,76750.87943716021,51983.941773460945,52460794.712555364,445336989.2180872
94,0.0,955538.3489080627,135086.4,1133306.231796554,1013873.8694709026,76750.87943716023,33809.24485153429,52460794.712555364,445336989.2180872
95,0.0,934697.9253463555,75470.14971134093,1066639.6201641024,924409.6217774319,85758.45328026448,23915.84388285538,52460794.712555364,445336989.2180872
96,0.0,942145.9768072743,75169.81653900183,1057153.1301368168,931898.6155030826,85417.1778431934,21657.06569475552,52460794.712555364,445336989.2180872
97,0.0,930125.674610208,67543.2,1050623.5769023562,920917.9951730478,76750.87943716021,29979.577816863875,52460794.712555364,445336989.2180872
98,0.0,905559.2504965262,0.0,979607.2222438867,828808.371059366,76750.87943716021,41690.5,52460794.712555364,445336989.2180872
99,0.0,926107.7131832589,141387.02995837515,1051774.7857446861,983584.3141078688,83910.4290337652,47299.7330175252,52460794.712555364,445336989.2180872
100,0.0,929116.6594835442,67543.2,1064628.0079634383,919908.980046384,76750.87943716021,25174.376672453447,52460794.712555364,445336989.2180872
101,0.0,919736.4855539732,67543.2,1022338.3936137321,910528.806116813,76750.87943716021,22685.38327470419,52460794.712555364,445336989.2180872
102,0.0,941767.9458443805,67543.2,1090337.74163339,932560.2664072203,76750.87943716021,26266.58723762319,52460794.712555364,445336989.2180872
103,0.0,944553.5589361548,67543.2,1092866.122301355,935345.8794989946,76750.87943716021,29979.577816863875,52460794.712555364,445336989.2180872
