Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,Benefit,npv
129,0.0,91852.7367,0.0,91852.7367,91852.7367,0.0,10369.090848679998,57231472.607204266,474124441.4598438
130,0.0,130441.42109999999,0.0,130441.42109999999,100000.0,30441.421099999992,38926.187982589996,57231472.607204266,474124441.4598438
131,0.0,153557.5263,0.0,156900.4737,100000.0,53557.5263,89168.50340461999,57231472.607204266,474124441.4598438
132,0.0,115228.1052,0.0,162897.1578,100000.0,15228.105200000005,103453.98889273999,57231472.607204266,474124441.4598438
133,0.0,152696.0526,0.0,152696.0526,100000.0,52696.052599999995,152888.15583680003,57231472.607204266,474124441.4598438
134,0.0,137269.10520000002,0.0,137269.10520000002,100000.0,37269.10520000003,187850.30342492004,57231472.607204266,474124441.4598438
135,0.0,109767.0,0.0,109767.0,100000.0,9767.0,197012.72612492,57231472.607204266,474124441.4598438
136,0.0,77510.6841,0.0,77510.6841,77510.6841,0.0,197012.72612492,57231472.607204266,474124441.4598438
137,0.0,36759.789600000004,0.0,36759.789600000004,36759.789600000004,0.0,197012.72612492,57231472.607204266,474124441.4598438
138,0.0,4297.4211000000005,0.0,4297.4211000000005,4297.4211000000005,0.0,197012.72612492,57231472.607204266,474124441.4598438
139,0.0,0.0,53557.5263,0.0,53557.5263,0.0,139921.23662486672,57231472.607204266,474124441.4598438
140,0.0,0.0,53557.5263,0.0,53557.5263,0.0,82829.74712481344,57231472.607204266,474124441.4598438
141,0.0,0.0,0.0,0.0,0.0,0.0,82829.74712481344,57231472.607204266,474124441.4598438
142,0.0,0.0,14417.815352640784,0.0,14417.815352640784,0.0,67460.58034873329,57231472.607204266,474124441.4598438
143,0.0,0.0,53557.5263,0.0,53557.5263,0.0,10369.090848680004,57231472.607204266,474124441.4598438
144,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
145,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
146,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
147,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
148,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
149,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
150,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
151,0.0,635.8422,0.0,635.8422,635.8422,0.0,10369.090848679998,57231472.607204266,474124441.4598438
152,0.0,42384.315899999994,0.0,42384.315899999994,42384.315899999994,0.0,10369.090848679998,57231472.607204266,474124441.4598438
153,0.0,85214.3685,0.0,85214.3685,85214.3685,0.0,10369.090848679998,57231472.607204266,474124441.4598438
154,0.0,100000.0,0.0,122566.7367,100000.0,0.0,10369.090848679974,57231472.607204266,474124441.4598438
155,0.0,148764.0,0.0,148764.0,100000.0,48764.0,56114.59924868,57231472.607204266,474124441.4598438
156,0.0,153557.5263,0.0,162826.1052,100000.0,53557.5263,106356.91467071,57231472.607204266,474124441.4598438
157,0.0,153557.5263,0.0,154181.36849999998,100000.0,53557.5263,156599.23009274,57231472.607204266,474124441.4598438
158,0.0,135894.63150000002,0.0,135894.63150000002,100000.0,35894.631500000025,190271.98390289003,57231472.607204266,474124441.4598438
159,0.0,107185.5263,0.0,116564.2104,100000.0,7185.526299999998,197012.72612492,57231472.607204266,474124441.4598438
160,0.0,82841.36850000001,0.0,82841.36850000001,82841.36850000001,0.0,197012.72612492,57231472.607204266,474124441.4598438
161,0.0,41635.5789,0.0,41635.5789,41635.5789,0.0,197012.72612492,57231472.607204266,474124441.4598438
162,0.0,4458.6315,0.0,4458.6315,4458.6315,0.0,197012.72612492,57231472.607204266,474124441.4598438
163,0.0,0.0,14417.815352640784,0.0,14417.815352640784,0.0,181643.55934883986,57231472.607204266,474124441.4598438
164,0.0,0.0,0.0,0.0,0.0,0.0,181643.55934883986,57231472.607204266,474124441.4598438
165,0.0,0.0,0.0,0.0,0.0,0.0,181643.55934883986,57231472.607204266,474124441.4598438
166,0.0,0.0,0.0,0.0,0.0,0.0,181643.55934883986,57231472.607204266,474124441.4598438
167,0.0,0.0,53557.5263,0.0,53557.5263,0.0,124552.06984878657,57231472.607204266,474124441.4598438
168,0.0,0.0,0.0,0.0,0.0,0.0,124552.06984878657,57231472.607204266,474124441.4598438
169,0.0,0.0,53557.5263,0.0,53557.5263,0.0,67460.58034873329,57231472.607204266,474124441.4598438
170,0.0,0.0,53557.5263,0.0,53557.5263,0.0,10369.090848680004,57231472.607204266,474124441.4598438
171,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
172,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
173,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
174,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
175,0.0,631.5789,0.0,631.5789,631.5789,0.0,10369.090848679998,57231472.607204266,474124441.4598438
176,0.0,41891.2104,0.0,41891.2104,41891.2104,0.0,10369.090848679998,57231472.607204266,474124441.4598438
177,0.0,92115.7896,0.0,92115.7896,92115.7896,0.0,10369.090848679998,57231472.607204266,474124441.4598438
178,0.0,128536.26329999999,0.0,128536.26329999999,100000.0,28536.26329999999,37138.959450409995,57231472.607204266,474124441.4598438
179,0.0,148453.8948,0.0,148453.8948,100000.0,48453.89480000002,82593.55816229002,57231472.607204266,474124441.4598438
180,0.0,106524.78900000002,0.0,160984.2633,100000.0,6524.789000000019,88714.46272319004,57231472.607204266,474124441.4598438
181,0.0,153557.5263,0.0,161137.1052,100000.0,53557.5263,138956.77814522004,57231472.607204266,474124441.4598438
182,0.0,142550.84219999998,0.0,142550.84219999998,100000.0,42550.84219999999,178873.72321304004,57231472.607204266,474124441.4598438
183,0.0,119335.89480000001,0.0,119335.8948,100000.0,19335.89480000001,197012.72612492,57231472.607204266,474124441.4598438
184,0.0,82214.5263,0.0,82214.5263,82214.5263,0.0,197012.72612492,57231472.607204266,474124441.4598438
